Tanggal,qty,Jumlah
2018-10-09,6916,35617400
2018-10-10,7269,37389000
2018-10-11,9804,50490600
2018-10-12,9453,48682950
2018-10-13,10336,53230400
2018-10-14,8786,45247900
2018-10-15,11257,57973550
2018-10-16,12309,63391350
2018-10-17,11931,61444650
2018-10-18,8805,45343600
2018-10-19,6698,34494700
2018-10-20,5851,29102650
2018-10-21,3269,16835350
2018-10-22,4987,25683050
2018-10-23,5560,28634000
2018-10-24,6350,32702500
2018-10-25,6412,33021800
2018-10-26,5384,27727600
2018-10-27,6277,32326550
2018-10-28,3869,23638500
2018-10-29,5491,28278650
2018-10-30,5275,27166250
2018-10-31,6262,32249300
2018-11-01,7091,36518650
2018-11-02,7650,39397500
2018-11-03,7035,36229650
2018-11-04,4728,24349200
2018-11-05,7180,36977000
2018-11-06,8044,41426600
2018-11-07,6038,31095700
2018-11-08,7945,40916750
2018-11-09,5793,29782450
2018-11-10,4361,22459150
2018-11-11,3947,20326950
2018-11-12,6516,33557400
2018-11-13,6167,31760050
2018-11-14,4180,21524000
2018-11-15,4965,25569750
2018-11-16,5066,26089900
2018-11-17,4760,24514000
2018-11-20,3496,18003400
2018-11-21,4229,21779350
2018-11-22,2844,14646600
2018-11-23,7716,39737400
2018-11-24,5300,27295000
2018-11-25,3201,16485150
2018-11-26,3913,20151950
2018-11-27,5286,27222900
2018-11-28,6168,31765200
2018-11-29,7076,36627100
2018-11-30,4131,21274650
2018-12-01,3331,17154650
2018-12-02,3631,18699650
2018-12-03,5899,30379850
2018-12-04,5065,26084750
2018-12-05,3900,20085000
2018-12-06,4674,24071100
2018-12-07,4976,25626400
2018-12-08,3821,19678150
2018-12-09,4624,23813600
2018-12-10,1621,8348150
2018-12-11,683,3517450
2018-12-12,4874,25101100
2018-12-13,4042,20817300
2018-12-14,3032,15614800
2018-12-15,3835,19750250
2018-12-16,5786,29797900
2018-12-17,1612,8301800
2018-12-18,2713,13966800
2018-12-19,6107,31451050
2018-12-20,7274,37461100
2018-12-21,5061,26064150
2018-12-22,7545,38856750
2018-12-23,3188,16418200
2018-12-25,2995,15424250
